"word1","word2","freq"
"last","year",191
"dont","know",176
"new","york",163
"right","now",136
"years","ago",135
"board","district",126
"township","board",126
"high","school",118
"last","week",118
"last","night",112
"dont","think",95
"even","though",94
"im","going",93
"cant","wait",91
"make","sure",90
"feel","like",88
"first","time",87
"im","sure",84
"new","jersey",77
"can","get",76
"dont","want",76
"two","years",75
"st","louis",69
"can","see",68
"looks","like",68
"los","angeles",68
"candidate","filed",67
"district","candidate",67
"looking","forward",65
"united","states",65
"can","make",61
"one","day",59
"every","day",57
"san","francisco",57
"will","take",56
"little","bit",54
"next","week",53
"health","care",52
"just","like",50
"come","back",49
"look","like",49
"many","people",49
"every","time",48
"next","year",48
"last","month",47
"let","know",47
"didnt","know",45
"happy","birthday",44
"san","diego",44
"can","also",43
"dont","like",43
"just","dont",42
"long","time",42
"will","get",42
"years","old",42
"dont","get",41
"one","thing",41
"didnt","want",40
"felt","like",40
"one","best",40
"really","good",40
"three","years",40
"will","make",40
"just","one",39
"pretty","good",39
"will","go",39
"last","years",38
"four","years",37
"look","forward",37
"one","two",37
"people","will",37
"best","friend",36
"can","tell",36
"dont","even",36
"real","estate",36
"sounds","like",36
"-","-",35
"first","day",35
"five","years",35
"now","im",35
"pretty","much",35
"social","media",35
"will","never",35
"anyone","else",34
"dont","forget",34
"go","back",34
"just","got",34
"many","years",34
"representative","district",34
"will","see",34
"can","help",33
"get","back",33
"good","morning",33
"im","just",33
"many","times",33
"will","help",33
"year","old",33
"years","later",33
"can","take",32
"know","im",32
"last","time",32
"let","us",32
"much","time",32
"police","said",32
"two","weeks",32
"vice","president",32
"going","get",31
"new","year",31
"state","representative",31
"think","im",31
"will","able",31
"good","luck",30
"good","thing",30
"next","time",30
"one","another",30
"one","one",30
"something","like",30
"weeks","ago",30
"will","also",30
"can","go",29
"oh","well",29
"pleaded","guilty",29
"seems","like",29
"two","days",29
"feels","like",28
"first","half",28
"give","us",28
"good","time",28
"im","glad",28
"im","still",28
"ive","got",28
"just","want",28
"last","two",28
"south","carolina",28
"super","bowl",28
"thanks","follow",28
"can","find",27
"dont","need",27
"earlier","year",27
"im","really",27
"least","one",27
"lets","go",27
"months","ago",27
"much","better",27
"trying","get",27
"will","always",27
"cant","believe",26
"doesnt","mean",26
"follow","back",26
"id","like",26
"las","vegas",26
"one","favorite",26
"tell","us",26
"around","world",25
"can","say",25
"can","use",25
"dont","care",25
"love","love",25
"mothers","day",25
"new","orleans",25
"next","day",25
"things","like",25
"think","will",25
"white","house",25
"young","people",25
"youve","got",25
"-","pm",24
"didnt","think",24
"friday","night",24
"ice","cream",24
"im","gonna",24
"im","trying",24
"last","season",24
"looked","like",24
"now","can",24
"second","half",24
"want","go",24
"want","know",24
"will","come",24
"will","continue",24
"york","city",24
"also","said",23
"back","home",23
"couple","weeks",23
"didnt","get",23
"dont","really",23
"even","know",23
"get","better",23
"good","news",23
"great","day",23
"im","happy",23
"ive","seen",23
"law","enforcement",23
"next","month",23
"officials","said",23
"one","can",23
"parking","lot",23
"police","officers",23
"really","want",23
"said","im",23
"saturday","night",23
"someone","else",23
"take","care",23
"think","can",23
"time","will",23
"whole","thing",23
"-","lead",22
"along","way",22
"call","--",22
"city","council",22
"doesnt","matter",22
"dont","feel",22
"first","round",22
"im","getting",22
"im","pretty",22
"im","sorry",22
"ive","never",22
"just","cant",22
"just","little",22
"just","saw",22
"lot","people",22
"much","love",22
"one","time",22
"pretty","sure",22
"wait","see",22
"can","imagine",21
"can","just",21
"every","single",21
"first","two",21
"get","one",21
"like","im",21
"look","good",21
"make","sense",21
"much","fun",21
"nothing","like",21
"people","dont",21
"really","need",21
"recent","years",21
"said","just",21
"several","years",21
"state","police",21
"take","time",21
"wall","street",21
"washington","dc",21
"year","ago",21
"barack","obama",20
"chief","executive",20
"either","way",20
"family","friends",20
"great","time",20
"join","us",20
"just","go",20
"just","love",20
"just","wanted",20
"let","go",20
"need","get",20
"olive","oil",20
"people","can",20
"take","place",20
"thanks","following",20
"time","time",20
"weve","got",20
"will","give",20
"will","need",20
"anything","else",19
"came","back",19
"dont","believe",19
"every","year",19
"executive","director",19
"feel","free",19
"good","day",19
"got","back",19
"great","deal",19
"havent","seen",19
"hunger","games",19
"ive","always",19
"many","things",19
"news","conference",19
"one","things",19
"said","dont",19
"said","hes",19
"san","jose",19
"six","months",19
"spend","time",19
"supreme","court",19
"thank","much",19
"thanks","rt",19
"us","know",19
"will","find",19
"will","likely",19
"youre","going",19
"across","country",18
"bay","area",18
"cell","phone",18
"couple","days",18
"couple","years",18
"ever","seen",18
"everyone","else",18
"family","members",18
"first","place",18
"good","idea",18
"good","one",18
"grocery","store",18
"im","thinking",18
"million","year",18
"now","time",18
"people","like",18
"people","want",18
"quite","bit",18
"s","s",18
"said","statement",18
"something","else",18
"square","feet",18
"state","senator",18
"three","months",18
"two","games",18
"two","months",18
"want","get",18
"-","pdt",17
"came","home",17
"cant","get",17
"cant","help",17
"didnt","even",17
"doesnt","make",17
"early","morning",17
"even","better",17
"get","free",17
"going","back",17
"hard","work",17
"head","coach",17
"help","us",17
"ive","ever",17
"kansas","city",17
"like","one",17
"might","just",17
"never","seen",17
"new","years",17
"one","last",17
"one","year",17
"people","just",17
"public","schools",17
"really","like",17
"school","district",17
"spring","training",17
"thanks","much",17
"three","times",17
"want","see",17
"will","look",17
"will","provide",17
"will","tell",17
"york","times",17
"-","minutes",16
"able","get",16
"associated","press",16
"bin","laden",16
"dont","let",16
"find","something",16
"get","new",16
"go","home",16
"hope","everyone",16
"im","looking",16
"just","keep",16
"little","girl",16
"lot","time",16
"move","forward",16
"never","know",16
"now","just",16
"now","will",16
"oh","yes",16
"one","person",16
"orange","county",16
"percent","percent",16
"point","guard",16
"really","dont",16
"said","friday",16
"school","board",16
"superior","court",16
"th","century",16
"thats","just",16
"theres","something",16
"two","people",16
"well","see",16
"west","side",16
"will","become",16
"will","try",16
"yet","another",16
"back","forth",15
"best","way",15
"brand","new",15
"can","still",15
"can","think",15
"days","week",15
"doesnt","know",15
"doesnt","like",15
"dont","see",15
"dont","understand",15
"dont","worry",15
"early","s",15
"ever","since",15
"every","night",15
"every","one",15
"first","one",15
"four","times",15
"front","door",15
"get","home",15
"getting","ready",15
"great","job",15
"happy","hour",15
"help","get",15
"hope","will",15
"im","excited",15
"im","proud",15
"just","much",15
"know","just",15
"know","know",15
"like","like",15
"like","said",15
"living","room",15
"look","back",15
"love","much",15
"many","ways",15
"next","years",15
"obama","administration",15
"one","many",15
"one","point",15
"past","year",15
"people","know",15
"police","department",15
"president","barack",15
"put","together",15
"right","away",15
"said","one",15
"see","can",15
"th","birthday",15
"thought","id",15
"three","weeks",15
"time","get",15
"time","year",15
"try","get",15
"us","will",15
"want","make",15
"washington","township",15
"will","bring",15
"will","work",15
"another","one",14
"authorities","said",14
"beautiful","day",14
"big","deal",14
"can","really",14
"cant","even",14
"cant","find",14
"center","township",14
"civil","rights",14
"come","home",14
"coming","soon",14
"couldnt","get",14
"day","long",14
"decatur","township",14
"end","year",14
"feel","better",14
"feel","good",14
"five","minutes",14
"franklin","township",14
"general","manager",14
"go","bed",14
"gold","cup",14
"good","job",14
"good","reason",14
"good","things",14
"got","home",14
"happy","mothers",14
"health","insurance",14
"hes","going",14
"hope","see",14
"house","speaker",14
"just","get",14
"just","let",14
"just","say",14
"just","think",14
"know","youre",14
"last","minute",14
"late","s",14
"lawrence","township",14
"lets","get",14
"like","good",14
"long","enough",14
"lot","fun",14
"love","see",14
"many","different",14
"middle","night",14
"monday","night",14
"much","like",14
"past","years",14
"perry","township",14
"pike","township",14
"please","follow",14
"public","health",14
"really","just",14
"regular","season",14
"ron","paul",14
"said","tuesday",14
"said","will",14
"senator","district",14
"sure","will",14
"take","pictures",14
"tea","party",14
"th","street",14
"thats","good",14
"think","going",14
"think","hes",14
"three","days",14
"trying","find",14
"us","attorney",14
"warren","township",14
"wayne","township",14
"whats","wrong",14
