"word1","word2","word3","word4","freq"
"board","district","candidate","filed",59
"township","board","district","candidate",59
"center","township","board","district",14
"decatur","township","board","district",14
"franklin","township","board","district",14
"lawrence","township","board","district",14
"perry","township","board","district",14
"pike","township","board","district",14
"warren","township","board","district",14
"washington","township","board","district",14
"wayne","township","board","district",14
"greenville","newspaper","south","carolina",12
"cake","cake","cake","cake",9
"candidate","filed","franklin","township",9
"candidate","filed","washington","township",9
"district","candidate","filed","franklin",9
"district","candidate","filed","washington",9
"filed","franklin","township","board",9
"filed","washington","township","board",9
"district","candidate","filed","state",8
"alex","alex","alex","alex",7
"candidate","filed","decatur","township",7
"candidate","filed","pike","township",7
"district","candidate","filed","decatur",7
"district","candidate","filed","pike",7
"filed","decatur","township","board",7
"filed","pike","township","board",7
"candidate","filed","center","township",6
"candidate","filed","perry","township",6
"candidate","filed","state","representative",6
"candidate","filed","warren","township",6
"dance","dance","dance","dance",6
"district","candidate","filed","center",6
"district","candidate","filed","perry",6
"district","candidate","filed","warren",6
"filed","center","township","board",6
"filed","perry","township","board",6
"filed","state","representative","district",6
"filed","warren","township","board",6
"representative","district","candidate","filed",6
"state","representative","district","candidate",6
"candidate","filed","lawrence","township",5
"district","candidate","filed","lawrence",5
"filed","lawrence","township","board",5
"g","g","saturated","mg",5
"g","saturated","mg","cholesterol",5
"happy","st","patricks","day",5
"betfred","cheltenham","gold","cup",4
"buy","one","get","one",4
"calories","g","g","saturated",4
"candidate","filed","wayne","township",4
"case","western","reserve","university",4
"district","candidate","filed","wayne",4
"filed","wayne","township","board",4
"g","fiber","mg","sodium",4
"g","protein","g","carbohydrate",4
"house","speaker","john","boehner",4
"john","smiths","grand","national",4
"middle","schools","earned","api",4
"per","serving","calories","g",4
"protein","g","carbohydrate","g",4
"schools","earned","api","similar",4
"th","overall","compensatory","pick",4
"township","board","district","david",4
"want","want","want","want",4
"-","years","old","feet",3
"bobbyjo","chase","fairyhouse","february",3
"cant","wait","get","started",3
"cholesterol","g","protein","g",3
"come","back","next","week",3
"congressional","record","vol","p",3
"daily","record","pp","e-e",3
"dow","jones","industrial","average",3
"federal","emergency","management","agency",3
"go","fish","ministries","inc",3
"grade","two","bobbyjo","chase",3
"home","new","york","city",3
"just","wanted","let","know",3
"los","angeles","city","council",3
"mg","cholesterol","g","protein",3
"mg","sodium","g","fiber",3
"new","york","new","jersey",3
"newark","mayor","cory","booker",3
"one","thing","remained","constant",3
"p","daily","record","pp",3
"pivots","short","term","momentum",3
"proceedings","national","academy","sciences",3
"record","vol","p","daily",3
"rushbig","time","rushbig","time",3
"san","francisco","bay","area",3
"saturated","mg","cholesterol","g",3
"senate","president","stephen","sweeney",3
"time","rushbig","time","rushbig",3
"two","bobbyjo","chase","fairyhouse",3
"vol","p","daily","record",3
"-","count","thats","throw",2
"-","curve","going","slider",2
"-","days","shorter","gregorian",2
"-","far","throw","mph",2
"-","filed","chapter","bankruptcy",2
"-","grams","protein","per",2
"-","marriotts","ridge","-",2
