"word1","freq"
"said",8844
"will",8132
"one",7667
"just",6736
"can",6265
"like",6152
"time",5383
"get",5112
"im",4892
"new",4828
"people",4012
"now",3980
"dont",3909
"also",3883
"good",3776
"know",3751
"day",3731
"first",3603
"us",3600
"back",3281
"see",3262
"two",3250
"make",3245
"last",3224
"love",3173
"go",3139
"well",3036
"year",3010
"even",2998
"think",2950
"much",2904
"years",2883
"really",2870
"going",2839
"way",2827
"work",2594
"want",2544
"still",2514
"great",2463
"-",2427
"many",2417
"got",2387
"little",2323
"right",2307
"made",2279
"may",2195
"life",2193
"take",2169
"say",2138
"thats",2098
"home",2095
"need",2076
"today",2048
"never",2024
"school",1948
"state",1944
"something",1941
"things",1921
"come",1866
"next",1862
"week",1835
"didnt",1826
"another",1812
"around",1797
"best",1789
"long",1726
"three",1696
"always",1689
"since",1686
"every",1668
"ive",1663
"cant",1662
"game",1630
"world",1628
"night",1621
"city",1609
"look",1579
"better",1562
"big",1515
"says",1457
"show",1452
"thing",1443
"find",1440
"feel",1426
"thanks",1406
"part",1402
"family",1401
"days",1395
"help",1388
"lot",1373
"use",1373
"youre",1363
"man",1361
"house",1359
"sure",1346
"place",1328
"u",1322
"end",1311
"put",1309
"used",1306
"getting",1302
"team",1269
"might",1266
"though",1258
"book",1252
"keep",1246
"found",1233
"away",1231
"give",1224
"high",1208
"old",1197
"happy",1194
"thought",1187
"million",1181
"percent",1178
"told",1178
"left",1175
"hes",1170
"went",1169
"hope",1161
"came",1160
"season",1154
"ever",1152
"rt",1149
"play",1145
"ill",1142
"without",1140
"times",1116
"pm",1107
"let",1104
"second",1104
"start",1096
"doesnt",1078
"enough",1071
"done",1069
"money",1066
"police",1062
"friends",1058
"set",1058
"children",1042
"st",1038
"looking",1022
"making",1020
"theres",1014
"free",1013
"th",1013
"top",1006
"call",1005
"hard",1005
"read",1002
"everyone",997
"yet",997
"god",990
"called",979
"food",979
"already",978
"public",971
"took",968
"county",966
"four",962
"job",962
"trying",961
"point",959
"tell",959
"story",958
"someone",956
"must",954
"past",953
"pretty",948
"different",940
"fun",940
"morning",939
"later",935
"try",933
"lol",924
"working",924
"room",922
"yes",918
"started",912
"business",910
"live",910
"actually",907
"far",906
"makes",896
"together",895
"able",893
"bit",892
"real",881
"bad",879
"small",871
"open",870
"anything",869
"music",868
"least",864
"follow",861
"kids",860
"run",859
"course",852
"nothing",851
"including",850
"ago",849
"early",848
"month",845
"s",841
"wanted",841
"everything",838
"oh",837
"kind",829
"change",826
"company",825
"person",825
"head",822
"believe",818
"others",810
"minutes",803
"name",803
"hours",797
"thank",797
"case",794
"along",792
"center",790
"water",789
"asked",788
"group",787
"nice",787
"post",786
"months",785
"president",781
"white",779
"games",778
